"","Ovary-AdenoCA::SP101845","Ovary-AdenoCA::SP101682","Ovary-AdenoCA::SP61553","Ovary-AdenoCA::SP101724","Ovary-AdenoCA::SP102103","Ovary-AdenoCA::SP102174","Ovary-AdenoCA::SP101622","Ovary-AdenoCA::SP102161","Ovary-AdenoCA::SP101654","Ovary-AdenoCA::SP102074","Ovary-AdenoCA::SP101694","Ovary-AdenoCA::SP101616","Ovary-AdenoCA::SP101666","Ovary-AdenoCA::SP101558","Ovary-AdenoCA::SP102096","Ovary-AdenoCA::SP102084","Ovary-AdenoCA::SP101580","Ovary-AdenoCA::SP102064","Ovary-AdenoCA::SP101564","Ovary-AdenoCA::SP101921","Ovary-AdenoCA::SP101648","Ovary-AdenoCA::SP101628","Ovary-AdenoCA::SP101708","Ovary-AdenoCA::SP102055","Ovary-AdenoCA::SP101634","Ovary-AdenoCA::SP101588","Ovary-AdenoCA::SP101584","Ovary-AdenoCA::SP101686","Ovary-AdenoCA::SP101532","Ovary-AdenoCA::SP101732","Ovary-AdenoCA::SP101528","Ovary-AdenoCA::SP101536","Ovary-AdenoCA::SP101576","Ovary-AdenoCA::SP102015","Ovary-AdenoCA::SP102168","Ovary-AdenoCA::SP101716","Ovary-AdenoCA::SP101592","Ovary-AdenoCA::SP101658","Ovary-AdenoCA::SP102045","Ovary-AdenoCA::SP101552","Ovary-AdenoCA::SP101519","Ovary-AdenoCA::SP101690","Ovary-AdenoCA::SP102123","Ovary-AdenoCA::SP101662","Ovary-AdenoCA::SP101600","Ovary-AdenoCA::SP101544","Ovary-AdenoCA::SP102133","Ovary-AdenoCA::SP101881","Ovary-AdenoCA::SP102035","Ovary-AdenoCA::SP101642","Ovary-AdenoCA::SP101596","Ovary-AdenoCA::SP101670","Ovary-AdenoCA::SP101674","Ovary-AdenoCA::SP101572","Ovary-AdenoCA::SP101678","Ovary-AdenoCA::SP101740","Ovary-AdenoCA::SP101700","Ovary-AdenoCA::SP101891","Ovary-AdenoCA::SP102143","Ovary-AdenoCA::SP102113","Ovary-AdenoCA::SP101521","Ovary-AdenoCA::SP101526","Ovary-AdenoCA::SP101540","Ovary-AdenoCA::SP101604","Ovary-AdenoCA::SP101548","Ovary-AdenoCA::SP101523","Ovary-AdenoCA::SP102090","Ovary-AdenoCA::SP101795","Ovary-AdenoCA::SP102187","Ovary-AdenoCA::SP101515","Ovary-AdenoCA::SP101931","Ovary-AdenoCA::SP101610","Ovary-AdenoCA::SP61703","Ovary-AdenoCA::SP59707","Ovary-AdenoCA::SP68659","Ovary-AdenoCA::SP62616","Ovary-AdenoCA::SP59761","Ovary-AdenoCA::SP66960","Ovary-AdenoCA::SP61453","Ovary-AdenoCA::SP63796","Ovary-AdenoCA::SP69155","Ovary-AdenoCA::SP59950","Ovary-AdenoCA::SP59938","Ovary-AdenoCA::SP64976","Ovary-AdenoCA::SP64296","Ovary-AdenoCA::SP65807","Ovary-AdenoCA::SP59803","Ovary-AdenoCA::SP66159","Ovary-AdenoCA::SP63356","Ovary-AdenoCA::SP68348","Ovary-AdenoCA::SP62450","Ovary-AdenoCA::SP67428","Ovary-AdenoCA::SP61713","Ovary-AdenoCA::SP68725","Ovary-AdenoCA::SP67609","Ovary-AdenoCA::SP62110","Ovary-AdenoCA::SP64546","Ovary-AdenoCA::SP63546","Ovary-AdenoCA::SP60322","Ovary-AdenoCA::SP60243","Ovary-AdenoCA::SP63966","Ovary-AdenoCA::SP60362","Ovary-AdenoCA::SP69077","Ovary-AdenoCA::SP67346","Ovary-AdenoCA::SP66687","Ovary-AdenoCA::SP63716","Ovary-AdenoCA::SP65376","Ovary-AdenoCA::SP61343","Ovary-AdenoCA::SP60001","Ovary-AdenoCA::SP59860","Ovary-AdenoCA::SP60610","Ovary-AdenoCA::SP64036","Ovary-AdenoCA::SP60842"
"Signature1",692.683821088143,3187.47887509156,1572.65169069916,1115.59258398598,1851.11567866605,1475.09150142141,474.305385422523,1395.35949152385,1859.15515872686,1890.6253456896,3715.4032196799,1608.73001181827,943.281936225223,682.972374814238,2352.31459579934,2134.05987421217,1249.01089731018,433.894033535556,610.665891194317,1043.4451718319,851.349560782882,2226.5510061468,1511.57054750411,1283.2621373752,460.809618227281,2151.75275779493,2588.64295482059,2670.53573287116,1148.92469188898,952.336258115416,1118.07376325409,2102.46807798974,1791.81457909977,181.07637690016,1809.44290047448,2775.11002025648,1749.9544383745,1033.92066315128,784.118635752771,202.003977425978,1021.11367978901,2739.59347386215,2210.13969672685,726.809573662794,695.360965069738,2553.41413483017,4052.64271349446,423.11185135233,821.3142036699,214.802957358207,1716.20088368373,1587.98614661587,302.759340752767,2267.26028691244,1265.23035674662,434.114265634094,851.680244994399,1357.79174955633,770.651382279598,452.237883528337,1477.87109634346,34.4861531314873,3062.86084514887,1057.46485781792,1000.28208784559,525.981640824477,1942.07469076576,357.621598179463,254.213900563247,614.44215503385,1471.58293188658,519.46570918979,2774.77660954444,1272.21744593963,632.497151893694,1086.52931131042,1265.22614906589,2029.97274103109,1730.7809203403,1513.06644824723,1944.50242447382,2280.50314701921,358.815819376754,1329.24749160025,847.883157323863,1013.51121296686,2762.55304346213,1170.6484447413,1816.89466045998,559.511795326406,1305.54001735422,661.404384021616,1049.40863390688,703.238502074258,1189.58948562369,3456.17533625114,728.946184119428,1655.9217346316,429.693990907689,645.824996699494,3025.4897793819,1765.59094569461,665.017334239218,3037.93143232863,1539.17839881736,1223.05581320134,1187.58368688059,2048.02630959596,933.9342168551,3294.47431367485,1200.99374331915,715.72455834301,944.040321454879
"Signature2",1827.30845918736,1030.05289422333,287.177022998988,4077.59928015523,982.159878072215,1968.52786652883,589.66608145095,2375.04843343775,743.808409279653,935.631699586535,1613.28701749468,1165.73059882056,782.527538335485,316.686874098321,843.577028424075,825.26314635851,1139.88061151924,849.874188195913,3798.33756816001,6977.04670888496,950.991769525822,1098.95171535315,319.363527164208,311.919117990438,2037.98217943984,758.759205312461,1007.9406217628,384.429644905102,1233.26468026229,1025.71804514521,575.389750670449,797.252343318395,2872.87057515775,2332.05420292337,556.903884244548,1706.16410825731,1036.39762189412,241.90105896287,1860.98628605724,1446.50789115675,784.082901281078,1754.09488109482,873.515012124433,1001.78458942892,411.210385793393,777.554974985776,1349.32902916431,1333.72514808853,967.564974728992,2937.97375235838,793.558119772881,981.568769378703,776.341790885611,672.751744493639,2670.00697059868,2168.86230203709,977.17362474448,1577.97049249532,1761.85109193809,1435.30682826325,2228.99459670091,16400.81389123,1111.18863959815,1294.51482938053,1089.38141200267,1659.80315056945,3250.07877056705,3192.27665345319,1478.56603491758,1747.5059067857,5112.7599329449,705.610325338071,509.677400715285,103.103758754804,619.974214023278,795.13104670062,1009.61794839401,676.487973706561,1585.13190384823,1038.75986318663,800.89602167394,2024.11047463965,1256.80879189952,1021.84396827512,558.782002898808,1721.04160337038,1007.23781018698,1375.71203501415,599.680600801654,3024.62733434808,578.90045949291,1519.0148381464,939.074929774688,227.302680980643,1772.45185769619,2091.91769597084,564.514125453654,2557.32387403152,1288.82378750006,1299.19994986518,1330.52104289656,423.980784609756,3381.10599964949,1038.34147575841,961.113042425054,711.450617497485,2486.92213636734,557.901348681869,2019.0347592001,1705.1590220644,785.963757917506,1571.50133892886,2738.60713117971
"Signature3",1868.55749882832,346.711903267639,379.863706858366,552.909765777387,339.8516760645,1789.87226501858,1400.57849441385,520.668329344129,1550.37894624968,524.814348283956,1193.03084431462,1728.49263293674,780.81509056273,575.186644006536,415.037015954286,345.905366266408,670.191331362997,665.559586814397,115.369037879135,12.5063980647256,542.10414771093,1014.20103897586,497.19655764332,190.982208213438,1046.16173298969,1045.11136218407,555.391837605792,529.561562660586,528.910842398141,550.91033339712,656.361677794151,397.330359845802,1372.92171536592,1663.03180918761,279.415518439546,2369.90395745448,1166.23895914524,122.480169492363,2116.22298581101,1768.81035185273,1742.85256496107,1057.95007536112,171.929710086828,752.29450058875,268.309098569479,426.272418472125,34374.3216456589,832.23991340488,849.618669455942,3594.10170360284,825.938664967612,1550.26790685099,1043.45599011706,115.670569565474,1977.08671917631,3230.3594448102,616.104993907189,1649.74686910004,685.082442013928,711.853115589289,758.89766470127,651.229621272563,42.6576635734469,599.331854814627,715.33484742662,723.590029411446,583.101377735976,782.153602465629,1538.72354730542,663.385073776033,1471.18305151315,474.277900526672,854.897257142375,110.328210855397,555.311562055155,1510.8309544946,592.356635391377,321.231392584854,257.765687253595,591.723965593925,108.839177467963,2437.03595891887,580.493940103721,1141.30825884108,1027.78385920854,813.662088328746,1154.16383222868,868.708742110308,655.879257567968,742.88673528851,300.620793978652,481.624836532655,576.888050322327,447.742158651271,1180.48948175931,312.150038145813,567.949545717717,1142.29691620026,783.002259667573,692.988046562077,338.499986402699,261.884270918176,1778.32182572697,539.823479187862,810.859503035747,361.610492772006,1232.28821651556,513.127975784507,1086.09752277571,616.925488103767,317.658228443179,726.270377011494,465.554641929533
"Signature4",3025.84425569249,398.791123963718,24.5264997547098,2351.63728640361,1115.63499692402,2593.03872959484,3310.4556600416,1403.60816239991,1559.26606362111,785.598246450323,2646.62248958773,4006.93109597815,2107.27133103123,1756.30691170137,664.807847917651,1155.18745374575,1423.43348869931,2029.28805358136,513.14629534941,165.569846093163,1998.45331850279,1539.45280528944,1041.50105603867,307.295942747276,2270.22010166097,1343.6846325584,1164.44844004088,823.850342458192,2317.88063709283,3878.61977695726,2085.11192816643,235.497372385682,1935.06626503384,3391.31451731557,535.088510678187,3182.45154614558,1332.13496553971,231.929397554364,4792.13565973448,6035.88830064217,1505.52449504426,3256.3360903981,1112.76188953236,1604.25622376264,210.582792114915,1259.35701539331,504.154507695706,1816.17486944835,1971.45484862632,4381.2945854901,931.321303233588,4086.16577783878,2148.97888776749,199.760953870845,4002.26756940637,5275.99648981629,1894.93132565848,3409.84920354198,1801.63653694281,1635.80297604512,655.438759268466,1114.86143885374,60.7323017312978,1639.37235308317,1464.55475385225,1559.06164034891,1061.17528977465,2187.19809858891,3207.25430721517,1486.52369337568,2504.27414595189,1866.59293848989,1598.98285222142,80.2549550901881,1260.71873489999,4495.24588569773,1405.40959464163,481.809931651707,646.876531442943,1006.78203121348,553.454215649846,5545.10103859888,2105.17938410429,1905.96930471665,3575.13345957379,3381.73474188502,1629.21266573113,3369.84230258854,1431.42957184948,2039.25948628116,353.268607475615,1926.9035350928,1689.53007358086,1239.98957676826,3775.96821883537,1073.28679444266,1544.33836816953,1945.81832691267,1698.82458378575,1389.87912934388,341.823627519599,609.923359901115,4606.14790622291,2140.10469230131,1501.33003848767,719.632935128843,4194.59719955262,1016.13507303188,3671.06670497185,1630.63410660722,446.26307388294,1776.04258313315,2304.66402308593
"Signature5",6142.60596520369,899.965203453754,280.781079688775,7175.2610836778,1363.23777027322,2159.46963743634,5058.99437867108,1568.31558329435,2811.39142212269,887.33035998959,2987.65642892307,3696.11566044629,2785.10410384533,2555.84719537953,883.263511904645,2172.58415941716,2558.48367110827,2836.38413787277,508.481207417129,2384.43187512525,3307.10120347758,2202.84343423475,1670.36831164969,792.540593673644,3147.82636768222,1388.69204215014,1891.57614576994,1044.62271710496,3837.01914835776,9558.41558638499,3006.06288011489,565.451846460384,2036.32686534273,6965.52309367328,1220.14918616324,3826.37036788615,1785.27401504642,315.768710839123,9886.5364326445,7552.78947892238,2102.42635892457,4971.02547928381,2592.65369152953,2266.8551125569,564.536758452476,1394.40145631862,343.552103986672,5679.74821770592,2627.04730351884,5930.82700119048,993.981028342185,5074.01139931565,2178.46399047707,475.5564451576,5053.40838407202,8126.66749770232,2929.10981069545,5149.64168530633,3629.77854682557,2047.799196574,823.797882985894,58.6088955121889,608.560549948235,2035.31610490375,2371.44689887287,1934.56353884571,1519.56987115656,3654.75004731281,3696.24220999859,1916.14317102873,3405.19993770348,3250.05312645557,2352.66588037648,381.095629359985,2186.49833712788,5965.26280179663,1344.38967250709,725.497961025791,843.444957114933,1366.66769175873,572.308160734433,6780.24938082338,2868.70206451572,2074.6309765669,5435.417520995,4990.05035344899,1997.83264839107,4801.08847554569,2093.11590932092,3051.71464875584,574.6701216986,2575.05240620653,2233.09831241525,1898.72708152556,5018.50095608544,2060.47013518954,1986.25177653967,2265.63914822395,1707.65537813893,1978.10787752937,870.665563799239,995.620638876348,5718.4069341614,3309.79892042379,1919.51901723417,1192.25014140033,5287.60876068389,1295.80929290579,4308.86679619724,2219.80706954976,499.121196437228,3081.46114258349,3129.13388234995
